;ZER DAGO#BARRUAN?;WHAT IS#IS WITHIN...;LA VÉRITÉ#EST AILLEURS...;WAS IST,#IST DRINNEN...;¿QUÉ HAY#DENTRO DE...?;CIÒ CHE C'È#È DENTRO...;O QUE EXISTE#ESTÁ DENTRO...;ВСЕ СУЩЕЕ#СОКРЫТО ВНУТРИ...;コタエは いつも#めのまえに...;진실은#네 안에 있다...;真相＃是…;真相＃是…;
;BIDAIARI BATEK#EZIN DU INOIZ#ATZERA EGIN...;A TRAVELER#CAN NEVER#GO BACK...;LE VOYAGEUR#NE CONNAÎT PAS#DE REPOS...;EIN REISENDER#KEHRT NIEMALS#ZURÜCK...;UN ESPÍRITU VIAJERO#NUNCA PUEDE#VOLVER...;I VIAGGIATORI#NON TORNANO#MAI INDIETRO...;UM VIAJANTE#NUNCA PODE#RETORNAR...;ПУТЕШЕСТВЕННИК#НИКОГДА НЕ#СМОЖЕТ ПОЙТИ НАЗАД...;ミイラとりは#ほんとうに ミイラに#なるのか…;여행자는#결코#돌아갈 수 없다...;游客#永远#都回不去…;遊客#永遠#都回不去…;
;EZPATA GUZTIAK#BENETAKOAK DIRA...;ALL SWORDS#ARE REAL...;L'ÉPÉE NE SAURAIT ÊTRE#QUE MATÉRIELLE...;ALLE SCHWERTER#SIND ECHT...;TODAS LAS ESPADAS#SON REALES.;LE SPADE#SONO REALI...;TODAS AS ESPADAS#SÃO REAIS...;ВСЕ МЕЧИ#НАСТОЯЩИЕ...;すべての つるぎは#しんじつに まさる…;모든 검은#진짜다...;所有的剑#都是真的…;所有的劍#都是真的…;
;DENBORA GUZTIA#EZ DA ESPAZIOA#BAINA ESPAZIO BATZUK#DENBORA DIRA...;NOT ALL TIME#IS SPACE#BUT SOME SPACE#IS TIME...;LE TEMPS S'ÉTEND,#MAIS L'ESPACE PASSE...;NICHT ALLE ZEIT#IST RAUM,#DOCH MANCHER RAUM#IST ZEIT...;NO TODO EL TIEMPO#ES ESPACIO,#PERO CIERTO ESPACIO#ES TIEMPO.;NON SEMPRE IL TEMPO#È SPAZIO,#MA A VOLTE#LO SPAZIO È TEMPO...;NEM TODO TEMPO#É ESPAÇO#MAS ALGUNS ESPAÇOS#SÃO TEMPOS...;НЕ ВСЕ ВРЕМЯ#ЕСТЬ ПРОСТРАНСТВО,#НО НЕКОТОРОЕ ПРОСТРАНСТВО#ЕСТЬ ВРЕМЯ...;ときは キンにあらず#ともすれば#ときは カネなり…;모든 시간이#공간이 아니지만#일부 공간은#시간이다...;并非所有的时间＃都是空间＃但有些空间＃是时间…;並非所有的時間＃都是空間＃但有些空間＃是時間…;
;MAMUAK GARA!#-MARY;WE'RE GHOSTS!#-MARY;ON EST TOUS DES FANTÔMES !#- MARY;WIR SIND GEISTER!#-MARY;¡SOMOS FANTASMAS!#MARY;SIAMO SPIRITI!#-MARY;SOMOS FANTASMAS!#-MARY;МЫ ПРИЗРАКИ!#-МЭРИ;われわれは ぼうれいである!#-マリー;우리는 유령이야!#-메리;我们是幽灵!#-玛丽;我們是幽靈!#-瑪麗;
;ZENBAKIAK#EZ DIRA#INOIZ ALDATZEN...;NUMBERS#NEVER#CHANGE...;LES NOMBRES#ONT L'ÉTERNITÉ#POUR EUX...;ZAHLEN#ÄNDERN#SICH NIE...;LOS NÚMEROS#NUNCA#CAMBIAN...;I NUMERI#NON CAMBIANO#MAI...;NÚMEROS#NUNCA#MUDAM...;ЧИСЛА#НИКОГДА#НЕ МЕНЯЮТСЯ...;けっして#かわることのない#すうじという かず…;숫자는#결코#변하지 않는다...;号码#永远#不变…;號碼#永遠#不變…;
;ZURE ONDASUNEK#EZ DIOTE#NOR ZAREN...;YOUR POSSESSIONS#DO NOT#DEFINE YOU...;LA PROPRIÉTÉ#NE DÉFINIT PAS#L'ÊTRE...;DEIN BESITZ#IST NICHT,#WER DU BIST...;TUS POSESIONES#NO TE#DEFINEN...;NON È CIÒ#CHE POSSIEDI#A DEFINIRTI...;SUAS POSSES#NÃO DEFINEM#VOCÊ...;ТВОИ ВЕЩИ#НЕ ОПРЕДЕЛЯЮТ#ТЕБЯ...;おおくの とみが #あっても みの まもりには#ならない…;네 재산이#너를 정의하는 건#아니다...;你的财产不能代表你是什么样的人…;你的財產不能代表你是什麼樣的人…;
;ZURE#BURUA#AURKITZEKO...;TO FIND#US FIND#YOURSELF...;POUR NOUS TROUVER,#TROUVE-TOI#TOI-MÊME...;UM UNS ZU#FINDEN, FINDE#DICH SELBST...;PARA ENCONTRARNOS,#ENCUÉNTRATE#TÚ...;SE VUOI TROVARCI,#TROVA PRIMA#IL TUO IO...;ENCONTRE-SE#PARA NOS#ENCONTRAR...;ЧТОБЫ НАЙТИ#НАС, НАЙДИ#СЕБЯ...;しりたいのなら#まずは おのれに#とうてみよ…;우리를#찾으려면#네 자신을 찾으라...;发现#我们发现#你自己…;發現#我們發現#你自己…;
;ERREALITATEA#ERLATIBOTASUNA DA...;REALITY IS#RELATIVITY...;IL N'EST DE RÉALITÉ#QUE SUBJECTIVE...;REALITÄT IST#RELATIVITÄT...;LA REALIDAD#ES RELATIVA...;LA REALTÀ#È RELATIVITÀ...;A REALIDADE#É RELATIVA...;РЕАЛЬНОСТЬ#ОТНОСИТЕЛЬНА...;げんじつは#しょうせつより きなり…;현실은#상대적이다...;现实是＃相对的…;現實是＃相對的…;
;ELKARREKIN IDATZI DUGU HAU!#-MARY;WE WROTE THIS TOGETHER!#-MARY;ON A ÉCRIT ÇA ENSEMBLE !#- MARY;WIR SCHRIEBEN DIES GEMEINSAM!#-MARY;¡HEMOS ESCRITO ESTO JUNTOS!#MARY;L'ABBIAMO SCRITTO INSIEME!#-MARY;ESCREVEMOS ISSO JUNTOS!#-MARY;МЫ НАПИСАЛИ ЭТО ВМЕСТЕ!#-МЭРИ;われわれの メッセージよ!#-マリー;우리가 이 글들을 남겼어!#-메리;我们把这个记录在一起!#- 玛丽;我們把這個記錄在一起!#- 瑪麗;
;JAKITURIA BILATZEN#DUTENEK OHITURAK#AURKITZEN DITUZTE...;THOSE WHO#SEEK WISDOM#FIND HABITS...;CEUX QUI SAGESSE RECHERCHENT,#DANS LA ROUTINE SE FONDENT...;WER WEISHEIT#SUCHT, WIRD#GEWOHNHEIT FINDEN...;QUIENES#BUSCAN SABIDURÍA#ENCUENTRAN HÁBITOS...;CHI CERCA#SAGGEZZA, TROVA#ABITUDINI...;QUEM BUSCA#SABEDORIA#ENCONTRA HÁBITOS...;КТО ИЩЕТ#МУДРОСТЬ,#НАХОДИТ ПРИВЫЧКИ...;ちえを おいもとめる#ものは ちしきを#てにいれる…;지혜를#추구하는 자라면#버릇을 찾으라...;那些＃寻求智能的人＃发现习惯…;那些＃尋求智慧的人＃發現習慣…;
;GUZTIA DA#SUBSTANTZIA BAKARRA...;ALL SUBSTANCE#IS ONE...;RIEN NE VIENT#DE RIEN...;ALLE SUBSTANZ#IST EINS...;TODO ES UNA#ÚNICA SUSTANCIA...;LA SOSTANZA#È UNA E SOLA...;TODA SUBSTÂNCIA#É APENAS UMA...;ВСЯ СУЩНОСТЬ#ЕДИНА...;ぜんは いち#いちは ぜんである…;모든 물질은#하나다...;所有物质#是一种…;所有物質#是一種…;
;BIZITZA#DENBORA#BAINO EZ DA...;LIFE IS#NOTHING#BUT TIME...;LA VIE EST PRISONNIÈRE DU TEMPS...;LEBEN IST#NICHTS ALS#ZEIT...;LA VIDA#SOLO ES#TIEMPO...;LA VITA#NON È ALTRO#CHE TEMPO...;A VIDA#É APENAS#UM MOMENTO...;ЖИЗНЬ ЕСТЬ#НЕ ЧТО ИНОЕ#КАК ВРЕМЯ...;じんせい とは#まよえる#ときの たびびと…;생명이란#시간#그 이하도 아니다...;生活#什么都不是#但时间…;生活#什麼都不是#但時間…;
;HAU DA PISU EGOKIA!#-MARY;THIS IS THE RIGHT FLOOR!#-MARY;TU ES AU BON ÉTAGE !#- MARY;DIES IST DIE RICHTIGE ETAGE!#-MARY;¡ESTE ES EL PISO!#MARY;SEI AL PIANO GIUSTO!#-MARY;ESSE É O ANDAR CERTO!#-MARY;ЭТО ВЕРНЫЙ ЭТАЖ!#-МЭРИ;ついに ここまできたわね!#-マリー;여기가 올바른 층이야!#-메리;这是正确的楼层!#-玛丽;這是正確的樓層!#-瑪麗;
;BZZP;BZZP;BZZP;BRRZZ...;*BZZP*;BZZP;BZZP;БЗ-ЗП;ザーッ;지지직;噗滋;噗滋;
;BZZT;BZZT;BZZT;ZKRRK...;*BZZT*;BZZT;BZZT;БЗ-ЗТ;ガガガッ;파지직;梆梆;梆梆;
;;;;;;;;;;;;;
;OINAK ZAINTZEKO LEKUAN#HARRIRIK EZ BIDEAN.;WHERE YOU TREAT YOUR FEET#THE ROCKS WON'T MEET.;AU PARADIS DES CHAUSSURES,#JAMAIS L'ON N'EMMURE.;DIE SCHÖNSTEN FÜSSE IM LAND,#DOCH IN DEN MAUERN NUR SAND.;DONDE MIMAS TUS PIES#LAS ROCAS NO VES.;DOVE SI CURANO DEI TUOI PIEDI#TROVERAI UN BUCO: VAI E VEDI.;ONDE HÁ O SAPATO#VOCÊ HÁ DE ENCONTRAR O BURACO.;НЕ СОЙДУТСЯ КАМНИ ТАМ,#ГДЕ ДАШЬ ЗАБОТУ ТЫ НОГАМ.;かべに アナあり#しょうじに クツあり;발이 요술을 부리게 되면#바위를 만나지 아니할 것이다.;在鞋子的天堂，没有石头的阻挠.;在鞋子的天堂，沒有石頭的阻撓.;
;ESENTZIA EZIN#DA HARRAPATU!;THE ESSENCE#SHALL NOT BE CAPTURED!;L'ÂME NE PEUT PAS#ÊTRE CAPTURÉE !;DIE WAHRE ESSENZ LÄSST#SICH SO NICHT FANGEN!;¡LA ESENCIA NO SE#PUEDE CAPTURAR!;NON PUOI CATTURARE#L'ESSENZA!;A ESSÊNCIA#NÃO PODE SER CAPTURADA!;ДУХИ НЕ МОГУТ#БЫТЬ СНЯТЫ!;じったいを#フレームに おさめることは できない!;허구는#촬영할 수 없다!;抓不住精髓#!;抓不住精髓#!;
;ESNATZEAN HASI#ETA HILTZEAN HAZI.;THE START IS WHAT SHOWS#THE END WHERE IT GROWS.;LE DÉ PART DE LA DEMEURE,#ROULE, VÉGÈTE AVANT QUE TU NE MEURES.;VON WO DU MAGST GEHEN#KOMMST WACHSEN ES SEHEN.;EL PRINCIPIO SE VERÁ#Y EN EL FINAL CRECERÁ.;INIZI NEI LUOGHI ABITUALI,#FINISCI DOVE CRESCON VEGETALI.;O INÍCIO É ONDE APARECE#O FIM ONDE ELE CRESCE.;ПУТЬ НАЧАВ ИЗ РАЗНЫХ ВЛАДЕНИЙ,#ЕГО ЗАВЕРШИ СРЕДЬ ПРЕЖНИХ РАСТЕНИЙ.;はじまりは めにうつる おおくの ねどこ#しょくぶつと おわりを むかえる;여러 곳에서 시작하여#한 곳에서 죽으면 자라리.;出发的地方#游戏最终结束的地方.;出發的地方#遊戲最終結束的地方.;
;X MARKAREN AZPIAN#ILUNTASUNARI AUKERA EMAN.;WHERE X MARKS THE SPOT#GIVE DARKNESS A SHOT.;À L'EMPLACEMENT D'UN X MARQUÉ,#ENFONCE-TOI DANS L'OBSCURITÉ.;UNTER DEM X#SIEHST DU NIX.;DONDE VEAS LA SEÑAL, DA#A LA OSCURIDAD SU OPORTUNIDAD.;UNA X TROVERAI LÀ,#MA OCCHIO ALL'OSCURITÀ.;ONDE O X MARCA O PONTO#A ESCURIDÃO VIRÁ AO SEU ENCONTRO.;ГДЕ КРЕСТ НАЧЕРТАН НА ЗЕМЛЕ —#ПРОХОД ТАИНСТВЕННЫЙ ВО МГЛЕ.;X に みちびかれ#まよいの やかたへ いざ ゆかん;X 표식이 있는#어둠 속으로 발을 디뎌라.;X标记的地方#找到黑暗的地方.;X標記的地方#找到黑暗的地方.;
;HONDARRETAN PRESO ZAUDENEAN#SEKRETUA DAGO PAZIENTZIAN.;WHEN STUCK IN THE SAND#PATIENCE HELPS A HAND.;QUAND TU ES PRISONNIER DES SABLES,#TA CHUTE AVEC PATIENCE AMORTIS.;WENN SAND WIRD DEIN GRAB,#WARTE AB.;SI TE ATASCAS EN LA ARENA,#LA PACIENCIA ES TU CONSEJERA.;NELLA SABBIA CHE TI BLOCCA,#ATTENDI SENZA APRIRE BOCCA.;NA AREIA NÃO SE DESESPERE#SEJA PACIENTE E APENAS ESPERE.;ЗАСТРЯВ В ПЕСКЕ, СПОКОЙНЕЙ БУДЬ:#ТЕРПЕНИЕ — ВЕРНЕЙШИЙ ПУТЬ.;ながれる すなを おそれるな#ゆうきあるもの だけに みちはひらかれる;모래 속에 갇혔을 때#인내심이 너를 도울 것이다.;陷在沙子中时#耐心能够帮上忙.;陷在沙子中時#耐心能夠幫上忙.;
;EGURREZ JANTZITAKO DEMONIOAK GARAITU#SARIA NAHI BADUZU LORTU.;FIENDS DRESSED IN WOODS#BE DEFEATED FOR GOODS.;AUX ACHARNÉS DÉMONS DU BOIS SURVIS,#POUR AVOIR ET LA BOURSE ET LA VIE.;DIE AUS BÜSCHEN SPRINGEN,#MUSST DU MEHRFACH BEZWINGEN.;QUIEN DERROTA A ENEMIGOS CAMUFLADOS#SE VE RECOMPENSADO.;A SVENTAR L'IMBOSCATA PENSA#ED AVRAI UNA RICOMPENSA.;VENÇA OS VILÕES DA FLORESTA#PARA DEPOIS FAZER A FESTA.;КОЛЬ В ЛЕСУ СИДИТ ЗЛОДЕЙ —#БЕЙ ЕГО И БОГАТЕЙ.;まねかれざる きゃくに たちむかえ#さすれば そなたは むくわれん;악마들은 숲속에 숨어 있다.#해치워서 이득을 취하라.;对身穿木质材料的朋友发起攻击#击败他们获得物品.;對身穿木質材料的朋友發起攻擊#擊敗他們獲得物品.;
;TOPATZEKO ZORTZIETAKO BATEKIN#JOAN ZAITEZ LURPEKO ARRATOIEKIN,;ONE OF EIGHT TO BE FOUND#IS WITH RATS UNDERGROUND.;UNE DES HUIT EST DISSIMULÉE,#OÙ LES COUSINS DES MULOTS SONT TERRÉS.;EINES VON ACHT,#MIT ERDE BEDACHT,#VON KRALLEN BEWACHT.;UNA DE LAS OCHO PATAS#ESTÁ EN EL SUBSUELO, CON RATAS.;UNO DI QUEGLI OTTO#TROVERAI IN CASA DEL RATTO.;UM DOS OITO NAS PROFUNDEZAS#CUIDADO COM OS RATOS NAS REDONDEZAS.;ОДНО ИЗ ВОСЬМИ ТЫ НАЙДЕШЬ,#ВНИЗ К КРЫСАМ КОГДА ПОПАДЕШЬ.;うしなわれし ものの ひとつを#まもるは くらい ちのそこ ちいさき けもの;찾아야 하는 여덟 개 중 하나는#지하에 쥐와 함께 있다.;八个触角中的一个#和地下的老鼠在一起;八個觸角中的一個#和地下的老鼠在一起;
;KAIXO, MARY NAIZ!#PISU EGOKIAN ZAUDENEAN#PISTEKIN ITOKO ZAITUGU!;HI I'M MARY!#IF YOU STAY ON THE RIGHT FLOOR#WE WILL HAUNT YOU WITH HINTS!;SALUT, MOI C'EST MARY !#SI TU RESTES AU BON ÉTAGE,#ON TE HANTERA À COUPS D'INDICES !;ICH BIN MARY!#WENN DU AUF DER RICHTIGEN ETAGE BIST,#SPUKEN WIR DIR TIPPS!;¡HOLA, SOY MARY!#¡CUANDO ESTÉS EN EL PISO CORRECTO#TE DAREMOS MUCHAS PISTAS!;CIAO, SONO MARY!#SE RESTI AL PIANO GIUSTO,#TI INFESTEREMO DI CONSIGLI!;OI, SOU A MARY!#SE VOCÊ FICAR NO ANDAR CERTO#ASSOMBRAREMOS VOCÊ COM DICAS!;ПРИВЕТ, Я МЭРИ!#ЕСЛИ ТЫ ОСТАНОВИШЬСЯ НА НУЖНОМ ЭТАЖЕ,#МЫ ПРИДЕМ К ТЕБЕ С ПОДСКАЗКАМИ!;ハァイ わたしは マリーよ!#ただしい ばしょに くれば#とびっきりの ヒントを あげるわ!;안녕, 나는 메리라고 해!#네가 올바른 층에 가면#우리가 힌트를 줄게!;嗨,我是玛丽!#＃如果你能在适当的地方停留＃我们会给你提示！;嗨,我是瑪麗!#＃如果你能在適當的地方停留＃我們會給你提示！;
;AIZU NI BERRIRO!#HONDARTZAZ GOZATZEN.#AURKITU DUZU UR-JAUZI#AZPIKO TXANPONA?;HEY IT'S ME AGAIN!#JUST ENJOYING THE BEACH.#DID YOU FIND THE COIN#UNDER THE WATERFALL YET?;COUCOU C'EST ENCORE MOI !#JE PROFITE DE LA PLAGE.#AS TU DÉJÀ TROUVÉ#LA PIÈCE SOUS LA CASCADE ?;ICH BIN‘S WIEDER!#ICH GENIESSE DEN STRAND.#HAST DU SCHON DIE MÜNZE#UNTERM WASSERFALL GEFUNDEN?;¡SOY YO OTRA VEZ!#AQUÍ, DISFRUTANDO LA PLAYA.#¿HAS DADO YA CON LA MONEDA#BAJO LA CASCADA?;EHI, SONO ANCORA IO!#MI GODO LA SPIAGGIA.#HAI GIÀ TROVATO LA MONETA#SOTTO LA CASCATA?;OI, SOU EU DE NOVO!#A PRAIA ESTÁ ÓTIMA.#JÁ ACHOU A MOEDA#ATRÁS DA CACHOEIRA?;ПРИВЕТ, ЭТО СНОВА Я!#ПРОСТО ВАЛЯЮСЬ НА ПЛЯЖЕ.#ТЕБЕ УЖЕ УДАЛОСЬ НАЙТИ#МОНЕТУ ПОД ВОДОПАДОМ?;また あったわね!#ビーチって ほんっと さいこうだわ#たきの したにある コインは#もう みつかって?;안녕, 또 만났네!#편하게 해변을 즐겨.#혹시 폭포 아래에 있는#코인은 발견했니?;嗨,又是我!#好好享受沙滩.#你找到瀑布下面#的硬币了么?;嗨,又是我!#好好享受沙灘.#你找到瀑布下麵#的硬幣了麼?;
;EZIN DUZU HORI EGIN!;YOU CAN'T DO THAT!;JE NE SUIS PAS PHOTOGÉNIQUE !;DAS GEHT NICHT!;¡NO PUEDES HACER ESO!;NO, NON PUOI!;NÃO PODE FAZER ISSO!;ТЫ НЕ МОЖЕШЬ ЭТОГО СДЕЛАТЬ!;ばかな まねは およしなさい!;그러지 마!;别这么做!;別這麼做!;
;SUGEAK LAGUNAK DIRA!;SNAKES ARE FRIENDS!;LES SERPENTS NE SONT MÉCHANTS !;SCHLANGEN SIND FREUNDE!;¡LAS SERPIENTES SON ALIADAS!;I SERPENTI SONO AMICI!;COBRAS SÃO AMIGAS!;ЗМЕИ НАШИ ДРУЗЬЯ!;てだしを しないほうが いいときもあるわ!;뱀은 모두의 친구야!;蛇是朋友!;蛇是朋友!;
;ESKERRIK ASKO!;THANKS!;MERCI !;DANKE!;¡GRACIAS!;OH, GRAZIE!;OBRIGADO!;СПАСИБО!;ありがとう!;고마워!;谢谢!;謝謝!;
;LAGUNDU!#ALDI ORO BERREZARTZEN ARI DIRA!;HELP!#THEY KEEP RESETTING!;REGARDE !#LES LEVIERS SE RABAISSENT !;HILFE!#IMMER VERSTELLEN SIE SICH!;¡SOCORRO!#¡SE RESTABLECEN TODO EL RATO!;AIUTO!#CONTINUANO A RIATTIVARSI!;SOCORRO!#OS BOTÕES NÃO PARAM!;НА ПОМОЩЬ!#ОНИ ПРОДОЛЖАЮТ СБРАСЫВАТЬСЯ!;いそがないと!#すぐに リセット されちゃうんだ!;도와줘!#저것들은 일정 시간 이후 초기화돼!;求助!#把它们恢复原位！;求助!#把它們恢復原位！;
;ZER?;WHAT?;QUOI ?;WIE BITTE?;¿QUÉ?;COSA?;AHN?;ЧТО?;なんで?;무슨 일이야?;怎么了?;怎麼了?;
;SISTEMARI EGIN AURRE,#EZ NIRI!;FIGHT THE SYSTEM,#NOT ME!;COMBATS LE SYSTÈME,#PAS MOI !;BEKÄMPFE DAS SYSTEM,#NICHT MICH!;¡LUCHA CONTRA EL SISTEMA,#NO CONTRA MÍ!;COMBATTI IL SISTEMA,#NON ME!;COMBATA O SISTEMA,#NÃO EU!;БОРИСЬ С СИСТЕМОЙ,#А НЕ СО МНОЙ!;ほかに#すべきことが あるだろう!;나 말고#시스템이랑 싸워줘!;打倒系统,#而不是我!;打倒系統,#而不是我!;
;;;;;;;;;;;;;
;NI EZ NINTZATEKE HOR SARTUKO...#KALERATZERIK NAHI EZ BADUZU!;I WOULDN'T GO IN THERE...#UNLESS YOU WANT TO BE FIRED!;JE N'IRAI PAS LÀ SI J'ÉTAIS TOI...#C'EST UN COUP À SE FAIRE VIRER !;DA WÜRDE ICH NICHT REINGEHEN...#ES SEI DENN, DU WILLST#GEFEUERT WERDEN!;YO NO ENTRARÍA AHÍ...#¡A MENOS QUE QUIERAS UN DESPIDO!;FOSSI IN TE NON CI ANDREI...#O VUOI CHE TI LICENZINO?;EU NÃO ENTRARIA AÍ...#NÃO QUERO SER DESPEDIDO!;МНЕ КАЖЕТСЯ, ТЕБЕ НЕ НАДО ТУДА ИДТИ...#ЕСЛИ ТЫ НЕ ХОЧЕШЬ, ЧТОБЫ ТЕБЯ УВОЛИЛИ!;ぜったいに いかないね#クビに なりたければ べつだけど!;불타버리고 싶은 사람이 아니고서야...#저기로 뛰어들 순 없어!;我不会去那里…#除非你想被解雇!;我不會去那裡…#除非你想被解雇!;
;GERATU EGINGO NAIZ!;I'M STAYING!;J'Y SUIS, J'Y RESTE !;ICH BLEIBE!;¡YO ME QUEDO!;IO RESTO QUI!;VOU FICAR AQUI!;Я ОСТАЮСЬ!;ここが すきなんだ!;난 여기 있을 거야!;我保持不动!;我保持不動!;
;EZ NAIZ JOANGO!;I'M NOT LEAVING!;JE NE BOUGERAI PAS !;ICH GEHE NICHT!;¡NO PIENSO IRME!;NON ME NE VADO!;NÃO VOU SAIR DAQUI!;Я НЕ УХОЖУ!;いかないったら!;안 떠날 거라니까!;我不走!;我不走!;
;;;;;;;;;;;;;
;EZ DUT LAN EGIN NAHI...#ITSAS BIDAIA BATEAN EGON NAHI NUKE.;I DON'T WANT TO WORK...#WISH I WAS ON A BOAT TRIP.;LE BOULOT, Y EN A MARRE...#JE VAIS LARGUER LES AMARRES.;ICH WILL NICHT ARBEITEN...#WÄRE LIEBER AUF EINEM BOOT.;NO QUIERO TRABAJAR...#OJALÁ ESTUVIERA DE CRUCERO.;NON VOGLIO LAVORARE...#MI PIACEREBBE ANDARE IN BARCA.;NÃO QUERO TRABALHAR...#QUERIA ESTAR PASSEANDO DE BARCO.;Я НЕ ХОЧУ РАБОТАТЬ...#Я ХОЧУ ПРОКАТИТЬСЯ НА ЛОДКЕ.;しごと したくねぇなぁ…#ボートで りょこうでも いきたい;일하고 싶지 않아...#보트 여행 떠나고 싶다...;不想工作…#希望我能在船上旅行.;不想工作…#希望我能在船上旅行.;
;HORRELA BAI GARBI!;SO CLEAN!;ILS ONT INSTALLÉ UNE DOUCHE ?;OH, SO SAUBER!;¡QUÉ LIMPIEZA!;CHE LAVATA!;QUE FRESCOR!;ТАК ЧИСТО!;みも こころも あらわれる!;깨끗해졌네!;很干净!;很乾淨!;
;SEGUR ASKI NERONEK ERAUZI#NUEN EZPATA HORREN MATERIALA!;I PROBABLY DUG UP#THE ORE FOR THAT SWORD!;LE FER DE TON ÉPÉE...#C'EST MOI QUI L'EXTRAIS.;DAS ERZ FÜR DIESES SCHWERT#HABE ICH GEFÖRDERT!;¡IGUAL HASTA YO EXTRAJE EL#MATERIAL DE ESA ESPADA!;PROBABILMENTE HO RACCOLTO IO#IL METALLO PER QUELLA SPADA!;E PENSAR QUE EU EXTRAÍ#O MINÉRIO DESSA ESPADA!;А ВЕДЬ РУДА ДЛЯ ЭТОГО МЕЧА#БЫЛА ДОБЫТА МНОЮ!;その つるぎは#だれが つくったと おもってるんだ!;아마 내가 그 검에 사용된 광석을 캤을 거야!;我很可能会为这剑#捡起矿石!;我很可能會為這劍#撿起礦石!;
;;;;;;;;;;;;;
;GURE NAGUSIA NAZKAGARRIA DA.#GREBARA NOA.;OUR BOSS IS TERRIBLE.#I'M STRIKING.;NOTRE PATRON EST UN VOYOU.#JE SUIS EN GRÈVE.;UNSER BOSS IST SCHLIMM.#ICH STREIKE.;MI MANDAMÁS ES HORRIBLE.#VOY A HACER HUELGA.;IL NOSTRO CAPO È UN DESPOTA.#IO SONO IN SCIOPERO.;NOSSO CHEFE É PÉSSIMO.#ESTOU EM GREVE.;НАШ НАЧАЛЬНИК УЖАСЕН.#Я ПРОТЕСТУЮ.;ホンマ じょうし さいあくや#サボったんねん;사장님은 끔찍한 분이셔.#그래서 파업 중이야.;我们老板太可怕了.#我有点害怕.;我們老闆太可怕了.#我有點害怕.;
;BIKAIN!;NICE!;COOL !;SCHÖN!;¡GENIAL!;BENE!;LEGAL!;ОТЛИЧНО!;ええやん!;멋진데!;真棒!;真棒!;
;FABRIKAREN AURKA!;FIGHT THE FACTORY!;BATS-TOI PLUTÔT CONTRE L'USINE !;KÄMPFE GEGEN DIE FABRIK!;¡CONTRA LA FÁBRICA!;COMBATTI CONTRO LA FABBRICA!;DESTRUA A FÁBRICA!;БОРИСЬ С ЗАВОДОМ!;あいて ちゃうやろ!;나 말고 공장이랑 싸우라고!;和工厂斗争吧!;和工廠鬥爭吧!;
;;;;;;;;;;;;;
;BONBA HAUEK LEHERTZEKO#MODU SEGURU BATEN BILA...#NAZKATUTA NAGO!;FIGURING OUT A SAFE WAY#TO DETONATE THESE BOMBS...#I'M SO DONE HERE!;COMMENT FAIRE SAUTER CES BOMBES#SANS EXPLOSER AVEC ?#JE SUIS FICHU !;ICH SUCHE EINEN WEG, UM DIESE#BOMBEN ZU ZÜNDEN...#MIR REICHT ES!;ESTOY PENSANDO EL MODO#DE DETONAR ESTAS BOMBAS.#¡ESTOY HASTA EL GORRO!;CI SARÀ UN MODO SICURO PER#FAR ESPLODERE QUESTE BOMBE...#NON CE LA FACCIO PIÙ A STARE QUI!;QUERO DETONAR ESSAS#BOMBAS EM SEGURANÇA...#QUERO EXPLODIR ISSO TUDO!;Я ДУМАЮ О БЕЗОПАСНОМ СПОСОБЕ#ПОДОРВАТЬ ЭТИ БОМБЫ...#Я БОЛЬШЕ ЗДЕСЬ НЕ МОГУ!;さっきから ずっと この#ばくだんを とめようと してるのに…#もう おてあげだ!;저 폭탄들을 폭파시키기에#안전한 장소가 어디려나...#가망이 보이질 않아!;找出一条安全办法＃引爆这些炸弹…#我完了!;找出一條安全辦法＃引爆這些炸彈…#我完了!;
;FREXKO-FREXKO!;SO FRESH!;ÇA FAIT DU BIEN !;ERFRISCHEND!;¡QUÉ FRESQUITO!;FRESCA!;DELÍCIA!;ОСВЕЖАЕТ!;きもちいい!;시원한데!;很新鲜!;很新鮮!;
;*EZTUL*;COUGH;KOF KOF !;KEUCH...;*COF*;COFF;COF;КАШЕЛЬ;いたいっ;아야;咳嗽;咳嗽;
;BAT BESTERIK EZ!#ZE GOGOA...;JUST ONE MORE!#CAN'T WAIT...;PLUS QU'UNE !#ON Y EST PRESQUE...;JETZT DIE ANDERE!#ENDLICH...;¡SOLO UNA MÁS!#QUÉ GANAS...;ANCORA UNA!#NON VEDO L'ORA...;SÓ MAIS UMA!#FALTA POUCO...;ЕЩЕ ВСЕГО ОДНА!#ЖДУ НЕ ДОЖДУСЬ...;あとひとつ!#あとひとつだ…;하나만 더 터뜨려줘!#어서...;再来一次!#迫不及待…;再來一次!#迫不及待…;
